Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 207, 207, 3, 3, 3, 32, 1,
Conv2, 541, 541, 3, 3, 3, 64, 1,
